Initial Condition:
  i            x_i           u[i]
  0              0    3.72665e-06
  1            0.5    6.11357e-06
  2              1     9.9295e-06
  3            1.5    1.59668e-05
  4              2    2.54193e-05
  5            2.5    4.00653e-05
  6              3    6.25215e-05
  7            3.5    9.65934e-05
  8              4    0.000147748
  9            4.5    0.000223746
 10              5    0.000335463
 11            5.5    0.000497955
 12              6    0.000731802
 13            6.5     0.00106477
 14              7     0.00153381
 15            7.5     0.00218749
 16              8     0.00308872
 17            8.5     0.00431784
 18              9     0.00597602
 19            9.5      0.0081887
 20             10       0.011109
 21           10.5      0.0149208
 22             11      0.0198411
 23           11.5      0.0261214
 24             12      0.0340475
 25           12.5      0.0439369
 26             13      0.0561348
 27           13.5      0.0710054
 28             14      0.0889216
 29           14.5       0.110251
 30             15       0.135335
 31           15.5       0.164474
 32             16       0.197899
 33           16.5       0.235746
 34             17       0.278037
 35           17.5       0.324652
 36             18       0.375311
 37           18.5       0.429557
 38             19       0.486752
 39           19.5       0.546074
 40             20       0.606531
 41           20.5       0.666977
 42             21       0.726149
 43           21.5       0.782705
 44             22        0.83527
 45           22.5       0.882497
 46             23       0.923116
 47           23.5       0.955997
 48             24       0.980199
 49           24.5       0.995012
 50             25              1
 51           25.5       0.995012
 52             26       0.980199
 53           26.5       0.955997
 54             27       0.923116
 55           27.5       0.882497
 56             28        0.83527
 57           28.5       0.782705
 58             29       0.726149
 59           29.5       0.666977
 60             30       0.606531
 61           30.5       0.546074
 62             31       0.486752
 63           31.5       0.429557
 64             32       0.375311
 65           32.5       0.324652
 66             33       0.278037
 67           33.5       0.235746
 68             34       0.197899
 69           34.5       0.164474
 70             35       0.135335
 71           35.5       0.110251
 72             36      0.0889216
 73           36.5      0.0710054
 74             37      0.0561348
 75           37.5      0.0439369
 76             38      0.0340475
 77           38.5      0.0261214
 78             39      0.0198411
 79           39.5      0.0149208
 80             40       0.011109
 81           40.5      0.0081887
 82             41     0.00597602
 83           41.5     0.00431784
 84             42     0.00308872
 85           42.5     0.00218749
 86             43     0.00153381
 87           43.5     0.00106477
 88             44    0.000731802
 89           44.5    0.000497955
 90             45    0.000335463
 91           45.5    0.000223746
 92             46    0.000147748
 93           46.5    9.65934e-05
 94             47    6.25215e-05
 95           47.5    4.00653e-05
 96             48    2.54193e-05
 97           48.5    1.59668e-05
 98             49     9.9295e-06
 99           49.5    6.11357e-06
100             50    3.72665e-06
