  i            x_i       u_upwind  u_laxwendroff        u_exact
  0              0    3.72665e-06    1.80481e-05    3.72665e-06
  1            0.5   -3.43409e-06    5.14004e-06    6.11357e-06
  2              1   -5.33424e-06    7.99382e-06     9.9295e-06
  3            1.5   -8.18233e-06    1.23094e-05    1.59668e-05
  4              2   -1.23909e-05    1.87694e-05    2.54193e-05
  5            2.5   -1.85185e-05     2.8343e-05    4.00653e-05
  6              3   -2.73033e-05    4.23909e-05    6.25215e-05
  7            3.5   -3.96942e-05     6.2804e-05    9.65934e-05
  8              4   -5.68714e-05    9.21835e-05    0.000147748
  9            4.5   -8.02439e-05    0.000134072    0.000223746
 10              5   -0.000111405    0.000193251    0.000335463
 11            5.5   -0.000152016    0.000276109    0.000497955
 12              6   -0.000203586    0.000391115    0.000731802
 13            6.5   -0.000267089    0.000549395     0.00106477
 14              7   -0.000342367    0.000765449     0.00153381
 15            7.5   -0.000427231     0.00105803     0.00218749
 16              8   -0.000516182     0.00145122     0.00308872
 17            8.5   -0.000598658     0.00197569     0.00431784
 18              9   -0.000656709     0.00267026     0.00597602
 19            9.5   -0.000662011     0.00358369      0.0081887
 20             10   -0.000572186     0.00477678       0.011109
 21           10.5   -0.000326372     0.00632474      0.0149208
 22             11     0.00015986      0.0083199      0.0198411
 23           11.5     0.00100015      0.0108745      0.0261214
 24             12     0.00234328      0.0141239      0.0340475
 25           12.5     0.00437902      0.0182291      0.0439369
 26             13     0.00734345        0.02338      0.0561348
 27           13.5       0.011523       0.029797      0.0710054
 28             14      0.0172566      0.0377324      0.0889216
 29           14.5      0.0249349        0.04747       0.110251
 30             15      0.0349963      0.0593227       0.135335
 31           15.5      0.0479178      0.0736282       0.164474
 32             16      0.0642017      0.0907405       0.197899
 33           16.5      0.0843566        0.11102       0.235746
 34             17       0.108872       0.134816       0.278037
 35           17.5       0.138192       0.162453       0.324652
 36             18       0.172677       0.194202       0.375311
 37           18.5       0.212572       0.230264       0.429557
 38             19       0.257973       0.270736       0.486752
 39           19.5       0.308786        0.31559       0.546074
 40             20       0.364706       0.364645       0.606531
 41           20.5       0.425192       0.417549       0.666977
 42             21        0.48946        0.47376       0.726149
 43           21.5       0.556483       0.532544       0.782705
 44             22       0.625008       0.592974        0.83527
 45           22.5        0.69359       0.653947       0.882497
 46             23       0.760639       0.714209       0.923116
 47           23.5       0.824473       0.772393       0.955997
 48             24       0.883394        0.82707       0.980199
 49           24.5       0.935757         0.8768       0.995012
 50             25        0.98005         0.9202              1
 51           25.5        1.01496       0.956005       0.995012
 52             26        1.03945        0.98313       0.980199
 53           26.5         1.0528        1.00072       0.955997
 54             27        1.05464        1.00821       0.923116
 55           27.5        1.04497        1.00533       0.882497
 56             28        1.02418       0.992143        0.83527
 57           28.5       0.992967       0.969028       0.782705
 58             29       0.952371       0.936671       0.726149
 59           29.5       0.903666       0.896022       0.666977
 60             30       0.848315       0.848255       0.606531
 61           30.5       0.787899       0.794704       0.546074
 62             31       0.724041       0.736805       0.486752
 63           31.5       0.658337       0.676029       0.429557
 64             32       0.592296       0.613822       0.375311
 65           32.5       0.527287       0.551548       0.324652
 66             33       0.464498       0.490442       0.278037
 67           33.5       0.404911       0.431574       0.235746
 68             34       0.349288       0.375827       0.197899
 69           34.5       0.298171       0.323882       0.164474
 70             35       0.251892       0.276218       0.135335
 71           35.5        0.21059       0.233125       0.110251
 72             36       0.174237       0.194713      0.0889216
 73           36.5        0.14267       0.160944      0.0710054
 74             37       0.115617       0.131654      0.0561348
 75           37.5      0.0927283       0.106578      0.0439369
 76             38      0.0736054       0.085386      0.0340475
 77           38.5      0.0578256         0.0677      0.0261214
 78             39      0.0449624      0.0531224      0.0198411
 79           39.5       0.034602      0.0412531      0.0149208
 80             40      0.0263562      0.0317051       0.011109
 81           40.5      0.0198699      0.0241156      0.0081887
 82             41      0.0148267      0.0181537     0.00597602
 83           41.5      0.0109506      0.0135249     0.00431784
 84             42     0.00800521     0.00997262     0.00308872
 85           42.5     0.00579239     0.00727765     0.00218749
 86             43     0.00414853     0.00525635     0.00153381
 87           43.5     0.00294094     0.00375743     0.00106477
 88             44     0.00206366     0.00265836    0.000731802
 89           44.5     0.00143334     0.00186147    0.000497955
 90             45    0.000985434     0.00129009    0.000335463
 91           45.5    0.000670613     0.00088493    0.000223746
 92             46    0.000451738    0.000600793    0.000147748
 93           46.5    0.000301213    0.000403711    9.65934e-05
 94             47    0.000198809    0.000268503    6.25215e-05
 95           47.5     0.00012989    0.000176752    4.00653e-05
 96             48    8.40032e-05    0.000115163    2.54193e-05
 97           48.5     5.3777e-05    7.42687e-05    1.59668e-05
 98             49    3.40786e-05    4.74067e-05     9.9295e-06
 99           49.5    2.13773e-05    2.99514e-05    6.11357e-06
100             50    1.32743e-05    2.75958e-05    3.72665e-06
